codlog;tipo;titulo;preposicao;nome;cep
72911;R; ; ;JOSE FRANCISCO DA CUNHA;03678-000
72912;R;S; ;PEDRO DO JEQUITINHONHA;08062-000
72913;R; ; ;ANTONIO DOS SANTOS;03811-000
72914;R; ; ;TOMAZ BRAGA;03816-000
72917;R; ; ;TIETINGA;08040-000
72919;R; ; ;AMALIA VAZ DE CARVALHO;08090-000
72920;R; ; ;UARANAPU;08090-000
72922;R; ; ;GUARAVIRA;08080-000
72924;R; ; ;ALUISIO DE CARVALHO;02470-000
72925;R; ; ;SUCUARANA;08081-000
72928;R; ; ;TUPINAMBARANAS;08410-000
72929;R; ; ;ARDOSIA;08440-000
72930;R; ; ;BADELEITA;08420-000
72931;R; ; ;ABDO SALEM;03462-000
72932;R; ; ;LUIS SCALISE;03450-000
72934;R; ; ;SERRA DO LENHEIRO;03382-000
72935;R; ; ;MANUEL LUIS DE ARAUJO COSTA;03280-000
72936;R; ; ;JOAO PIMENTEL DE TAVORA;03261-000
72939;R; ; ;ANTONIO ANNUNZIATO;04243-000
72940;R; ; ;MARINO NAVARRO;04256-000
72941;R; ; ;ANTONIO FRANCISCO;04187-000
72943;R; ; ;CELESTINO SILVA;04405-000
72946;R; ; ;JESUS BORGES GOUVEA;04652-000
72947;R; ; ;JANUARIO DA ROCHA FRANCA;04455-000
72948;R; ; ;JOAQUIM PEDRO GETULIO;04456-000
72950;R; ; ;JOSEFINA ALVARES DE AZEVEDO;05661-000
72951;R; ; ;ANA LUISA MOREIRA;05160-000
72952;R;CAP; ;ANTONIO BUENO RANGEL;05158-000
72954;R; ; ;AMARAL DOS BARRETOS;05158-000
72955;R; ; ;FRANCISCO LIMA CERQUEIRA;02942-000
72956;R; ; ;JOSE QUEIROZ DOS SANTOS;05138-000
72958;R; ; ;VITORINO;02982-000
72960;R; ; ;GLORIA DE DOURADOS;02985-000
72961;R; ; ;SETE (J. PAULISTANO-BRASI);00000-000
72963;R; ; ;ITAMBE DO MATO DENTRO;02851-000
72965;R; ; ;JOAQUIM PRUDENCIO;02675-000
72966;R; ; ;RIBEIRO DE VASCONCELOS;02321-000
72968;R; ; ;ATAQUE;02356-000
72969;R; ; ;CAMPO DE IALU;03718-000
72970;R; ; ;SEBERI;03819-000
72971;R; ; ;BEZERROS;03819-000
72973;R; ; ;PERITIBA;03727-000
72975;R; ;DA;LENDA BRASILEIRA;03812-000
72976;R; ; ;ROSA-DO-CAMPO;08061-000
72977;R; ; ;ISABEL MORALES DE O. MIRAGAIA;08161-000
72978;R; ; ;MACAUBA-MIRIM;08161-000
72979;R; ; ;CENTEIO;08081-000
72980;R; ; ;CANARANA DO AMAZONAS;08180-000
72982;R; ; ;CACHOEIRA MANGANAL;08190-000
72984;R; ; ;IBACABA;08180-000
72985;R; ; ;RIO UPITANGA;08151-000
72986;R; ; ;ENSEADA DAS GAROUPAS;08110-000
72987;R; ; ;ANDRE PINTO CORREIA;08111-000
72988;R; ; ;RIO SABOTAI;08160-000
72989;R; ; ;BERLY AZEVEDO VIEIRA;08160-000
72990;R;NSRA;DA;APRESENTACAO;08111-000
